index,genres,keywords,tagline,title,cast,director
2545,Crime Drama Thriller,los angeles bullet proof vest u.s. marine medal of valor police sergeant,Every moment of your life they stand watch,End of Watch,Jake Gyllenhaal Michael Pe\u00f1a Natalie Martinez Anna Kendrick David Harbour,David Ayer
2546,Crime Drama Thriller,journalist secret society pizza wealth pay phone,Getting in is easy. Getting out is a killer.,The Skulls,Joshua Jackson Paul Walker Hill Harper Leslie Bibb Christopher McDonald,Rob Cohen
2547,Drama Romance,wife husband relationship biography physicist based on memoir stephen hawking,His Mind Changed Our World. Her Love Changed His.,The Theory of Everything,Eddie Redmayne Felicity Jones Charlie Cox Emily Watson Simon McBurney,James Marsh
2548,Comedy Crime,street gang los angeles,,Malibu's Most Wanted,Jamie Kennedy Taye Diggs Anthony Anderson Regina Hall Blair Underwood,John Whitesell
2549,Comedy Drama Romance,california baby supermarket oklahoma pregnancy and birth,Laughter is harder... Friendship is stronger... Trust is deeper... When it comes from the heart.,Where the Heart Is,Natalie Portman Ashley Judd Stockard Channing Joan Cusack Sally Field,Matt Williams
2550,Adventure Drama History War,cairo arabian world war i horse jerusalem,,Lawrence of Arabia,Peter O'Toole Alec Guinness Anthony Quinn Jack Hawkins Omar Sharif,David Lean
2551,Horror,nurse shotgun nudity therapist book,Family Is Forever,Halloween II,Scout Taylor-Compton Sheri Moon Zombie Tyler Mane Chase Wright Vanek Brad Dourif,Rob Zombie
2552,Drama,adventure biography hiking based on true story traveller,,Wild,Reese Witherspoon Laura Dern Thomas Sadoski Keene McRae Michiel Huisman,Jean-Marc Vall\u00e9e
2553,Crime Thriller Horror Drama,rape white trash revenge murder dysfunctional family,"If someone hurt someone you love, how far would you go to get revenge?",The Last House on the Left,Garret Dillahunt Michael Bowen Joshua Cox Riki Lindhome Aaron Paul,Dennis Iliadis
2554,Comedy Romance,based on novel callboy wedding escort fake boyfriend,Love doesn't come cheap.,The Wedding Date,Debra Messing Dermot Mulroney Amy Adams Jack Davenport Jeremy Sheffield,Clare Kilner
2555,Horror Thriller,brother sister relationship innocence serial killer michael myers,Evil finds its way home,Halloween: Resurrection,Jamie Lee Curtis Brad Loree Busta Rhymes Bianca Kajlich Katee Sackhoff,Rick Rosenthal
2556,Adventure Family Fantasy Comedy Romance,swashbuckler evil prince reference to socrates reference to plato screwball,It's as real as the feelings you feel.,The Princess Bride,Cary Elwes Robin Wright Mandy Patinkin Andr\u00e9 the Giant Chris Sarandon,Rob Reiner
2557,Drama,biography,"When the nation was in need, he inspired them to give us hope.",The Great Debaters,Denzel Washington Nate Parker Forest Whitaker Denzel Whitaker Kimberly Elise,Denzel Washington
2558,Drama Action Thriller Crime,stuntman blood splatter independent film police chase extreme violence,There are no clean getaways.,Drive,Ryan Gosling Carey Mulligan Bryan Cranston Albert Brooks Oscar Isaac,Nicolas Winding Refn
2559,Comedy,rock star spotlight high school party rivalry,She's making a scene over everything.,Confessions of a Teenage Drama Queen,Lindsay Lohan Adam Garcia Glenne Headly Alison Pill Megan Fox,Sara Sugarman
2560,Comedy Drama Romance,blind date love falling in love gay man straight woman relationship,Sometimes The Most Desirable Relationship Is The One You Can't Have,The Object of My Affection,Jennifer Aniston Paul Rudd Hayden Panettiere Alan Alda Allison Janney,Nicholas Hytner
2561,Horror Thriller Science Fiction,london england loss of mother loss of family mutant pest,When days turn to weeks... the horror returns.,28 Weeks Later,Imogen Poots Robert Carlyle Rose Byrne Jeremy Renner Harold Perrineau,Juan Carlos Fresnadillo
2562,Drama,american football sport high school sports,"Its Not How Hard You Fall, Its How You Get Back Up",When the Game Stands Tall,Jim Caviezel Michael Chiklis Laura Dern Clancy Brown Ser'Darius Blain,Thomas Carter
2563,Comedy Drama Family,,Discover what happens when you go looking for a miracle and a miracle comes looking for you.,Because of Winn-Dixie,Jeff Daniels AnnaSophia Robb Cicely Tyson Eva Marie Saint Dave Matthews,Wayne Wang
2564,Action Comedy Drama Romance,lovers affection sport basketball high school sports,All's fair in love and basketball.,Love & Basketball,"Chris Warren, Jr. Kyla Pratt Sanaa Lathan Omar Epps Alfre Woodard",Gina Prince-Bythewood
2565,Action Comedy Thriller Romance,mission of murder school party high school reunion,Even a hit man deserves a second shot.,Grosse Pointe Blank,John Cusack Minnie Driver Dan Aykroyd Joan Cusack Alan Arkin,George Armitage
2566,Comedy,blind date eccentric aftercreditsstinger crossword puzzle mine shaft,A Comedy That Clings,All About Steve,Sandra Bullock Thomas Haden Church Bradley Cooper Ken Jeong DJ Qualls,Phil Traill
2567,Mystery Thriller Horror,witch video forest horror vision,Evil Doesn't Die.,Book of Shadows: Blair Witch 2,Kim Director Jeffrey Donovan Erica Leerhsen Tristine Skyler Stephen Barker Turner,Joe Berlinger
2568,Drama Fantasy Horror Thriller,witch suicide attempt puberty magic black magic,Welcome to the witching hour.,The Craft,Robin Tunney Fairuza Balk Neve Campbell Rachel True Skeet Ulrich,Andrew Fleming
2569,Drama Thriller Crime Romance,love triangle london england upper class adultery tennis,Passion Temptation Obsession,Match Point,Jonathan Rhys Meyers Scarlett Johansson Emily Mortimer Brian Cox Penelope Wilton,Woody Allen
2570,Comedy Family,sister sister relationship mother daughter relationship aunt niece relationship father daughter relationship duringcreditsstinger,A Little Sister Goes A Long Way.,Ramona and Beezus,Joey King Selena Gomez John Corbett Bridget Moynahan Ginnifer Goodwin,Elizabeth Allen Rosenbaum
2571,Drama Romance,newspaper butler country house loyalty flower,Diamond in the Rough,The Remains of the Day,Anthony Hopkins Emma Thompson James Fox Christopher Reeve Hugh Grant,James Ivory
2572,Drama,pornography sex porn actor pornographic video from rags to riches,"The life of a dreamer, the days of a business, and the nights in between.",Boogie Nights,Mark Wahlberg Burt Reynolds John C. Reilly Julianne Moore Thomas Jane,Paul Thomas Anderson
2573,Action Adventure Drama Thriller,prisoner fight liberation shelter,"When the law can't protect the innocent,  the only hero left is an outlaw.",Nowhere to Run,Jean-Claude Van Damme Rosanna Arquette Kieran Culkin Ted Levine Tiffany Taubman,Robert Harmon
2574,Drama,horse,,Flicka,Tim McGraw Maria Bello Armie Hammer Alison Lohman Ryan Kwanten,Michael Mayer
2575,Horror Thriller,new mexico mutant assault survival,Help isn't coming.,The Hills Have Eyes 2,Michael Bailey Smith Archie Kao Jay Acovone Jeff Kober Philip Pavel,Martin Weisz
2576,Horror,film making high school sequel serial killer slasher,Legends Never Die.,Urban Legends: Final Cut,Jennifer Morrison Matthew Davis Loretta Devine Hart Bochner Anthony Anderson,John Ottman
2577,Fantasy Drama Science Fiction Romance Family,,"If you could choose to live forever, would you?",Tuck Everlasting,Alexis Bledel William Hurt Sissy Spacek Jonathan Jackson Scott Bairstow,Jay Russell
2578,Action Adventure Drama Thriller,gangster boss wife war change iraq war,War is Fine But The Fight Continues,The Marine,John Cena Kelly Carlson Robert Patrick Abigail Bianca Anthony Ray Parker,John Bonito
2579,Action Comedy,hitman strip club african american gangster car chase,"Kitten, please.",Keanu,Jordan Peele Keegan-Michael Key Tiffany Haddish Method Man Darrell Britt-Gibson,Peter Atencio
2580,Drama Romance,suicide alcohol adultery country music bar,It doesn't matter where you've been as long as you come back strong.,Country Strong,Gwyneth Paltrow Garrett Hedlund Tim McGraw Leighton Meester Marshall Chapman,Shana Feste
2581,Mystery Horror Science Fiction,suicide sex island nightmare chase,In Cradle Bay it doesn’t matter if you’re not perfect.  You will be.,Disturbing Behavior,James Marsden Katie Holmes Nick Stahl Steve Railsback Bruce Greenwood,David Nutter
2582,Drama Crime,corruption father son relationship carnival mechanic motorcycle,If you ride like lightning you're gonna crash like thunder,The Place Beyond the Pines,Ryan Gosling Bradley Cooper Eva Mendes Dane DeHaan Emory Cohen,Derek Cianfrance
2583,Crime Action Thriller,cia retired agent,A spy is never out of the game.,The November Man,Pierce Brosnan Luke Bracey Olga Kurylenko Bill Smitrovich Amila Terzimehic,Roger Donaldson
2584,Drama Mystery Thriller,beautiful woman serial killer secret service blindness,Obsession is in the eye of the beholder.,Eye of the Beholder,Ewan McGregor Ashley Judd Patrick Bergin k.d. lang Genevi\u00e8ve Bujold,Stephan Elliott
2585,Drama Thriller War,sniper explosive loyalty u.s. army iraq,You'll know when you're in it.,The Hurt Locker,Jeremy Renner Anthony Mackie Brian Geraghty Guy Pearce Ralph Fiennes,Kathryn Bigelow
2586,Fantasy Drama Horror Action Thriller,fire telepathy intelligence college,Will she have the power... to survive?,Firestarter,David Keith Drew Barrymore Freddie Jones Heather Locklear Martin Sheen,Mark L. Lester
2587,Crime Thriller,poker gambling robbery based on novel hitman,In America you're on your own.,Killing Them Softly,Brad Pitt Scoot McNairy Ben Mendelsohn James Gandolfini Ray Liotta,Andrew Dominik
2588,Thriller,terror muslim intelligence immigrant torture,,A Most Wanted Man,Philip Seymour Hoffman Rachel McAdams Robin Wright Daniel Br\u00fchl Willem Dafoe,Anton Corbijn
2589,Comedy,wheelchair slacker sausage,A touching story of a young man who desperately wants to make his daddy proud.,Freddy Got Fingered,Tom Green Rip Torn Marisa Coughlan Eddie Kaye Thomas Harland Williams,Tom Green
2590,Adventure Animation Comedy Science Fiction Family,brother brother relationship hostage vegetable children pirate,,VeggieTales: The Pirates Who Don't Do Anything,Phil Vischer Mike Nawrocki Cam Clarke Laura Gerow Yuri Lowenthal,Mike Nawrocki
2591,Music Documentary,,Hear See Experience,U2 3D,Bono The Edge Adam Clayton  Larry Mullen Jr.,Mark Pellington
2592,Action Fantasy Science Fiction,loss of lover antiquary loss of powers death of a friend immortality,"It will take two immortals to defeat the ultimate evil. But in the end, there can be only one.",Highlander: Endgame,Christopher Lambert Bruce Payne Adrian Paul Donnie Yen Lisa Barbuscia,Douglas Aarniokoski
2593,Crime Drama Music,mortician tied to chair song and dance piano lesson fisticuffs,,Idlewild,Andr\u00e9 Benjamin Paula Patton Terrence Howard Faizon Love Malinda Williams,Bryan Barber
2594,Drama Romance,based on novel comedian job love male female relationship,Twenty years. Two people.,One Day,Anne Hathaway Jim Sturgess Patricia Clarkson Ken Stott Romola Garai,Lone Scherfig
2595,Drama,sport roller derby duringcreditsstinger woman director,Be Your Own Hero,Whip It,Ellen Page Alia Shawkat Kristen Wiig Drew Barrymore Shannon Eagen,Drew Barrymore
2596,Crime Thriller,montana sheriff pile of dead bodies money mobster,"If they don't finish the job, their fathers will finish them.",Knockaround Guys,Barry Pepper Andy Davoli Seth Green Vin Diesel John Malkovich,Brian Koppelman
2597,Action Comedy Thriller Crime,grifter con big con con game premarital sex,It's not about the money. It's about the money.,Confidence,Edward Burns Rachel Weisz Morris Chestnut Dustin Hoffman Andy Garc\u00eda,James Foley
2598,Fantasy Comedy,screenwriter muse,In Goddess we trust.,The Muse,Albert Brooks Sharon Stone Andie MacDowell Jeff Bridges Cybill Shepherd,Albert Brooks
2599,Drama Music,musical biography hollywood theater,,De-Lovely,Kevin Kline Ashley Judd Jonathan Pryce Kevin McNally Sandra Nelson,Irwin Winkler
2600,Comedy Drama Romance,new york mother hotel robbery jealousy,"One city, three stories tall.",New York Stories,Woody Allen Marvin Chatinover Mae Questel Mia Farrow Molly Regan,Francis Ford Coppola
2601,Family,,,Barney's Great Adventure,,Steve Gomer
2602,Action,blacksmith brothel femme fatale violence ancient china,You can't spell Kung Fu without F and U!,The Man with the Iron Fists,Russell Crowe Lucy Liu Jamie Chung RZA Zhu Zhu,RZA
2603,Drama Comedy Romance,waitress infidelity planned murder pregnancy and birth funeral,A long shot romance in a short order world.,Home Fries,Drew Barrymore Catherine O'Hara Luke Wilson Jake Busey Shelley Duvall,Dean Parisot
2604,Romance,car race private school diner,,Here On Earth,Leelee Sobieski Chris Klein Josh Hartnett Michael Rooker Annie Corley,Mark Piznarski
2605,Comedy Science Fiction,bureaucracy police state terror great britain dream,It's only a state of mind.,Brazil,Jonathan Pryce Robert De Niro Katherine Helmond Ian Holm Bob Hoskins,Terry Gilliam
2606,Music Drama Romance,music life's dream aspiring singer singer teenager,Don't Hold Back ...Don't Give Up.,Raise Your Voice,Hilary Duff Oliver James David Keith Johnny Lewis Rita Wilson,Sean McNamara
2607,Comedy Crime,white russian dude bowling vietnam veteran carpet,Times like these call for a Big Lebowski.,The Big Lebowski,Jeff Bridges John Goodman Julianne Moore Steve Buscemi Philip Seymour Hoffman,Joel Coen
2608,Drama,southern usa blues military service independent film,To save his soul he must save hers.,Black Snake Moan,"Samuel L. Jackson Christina Ricci Justin Timberlake S. Epatha Merkerson John Cothran, Jr.",Craig Brewer
2609,Action Crime Drama Thriller,corruption police brutality riot ghetto street war,"1992, L.A is at boiling point. One cop's turning up the heat",Dark Blue,Kurt Russell Scott Speedman Michael Michele Brendan Gleeson Ving Rhames,Ron Shelton
2610,Drama Thriller,terror journalism new love sadness fbi,One woman dared to keep hope alive,A Mighty Heart,Angelina Jolie Dan Futterman Irrfan Khan Archie Panjabi Denis O'Hare,Michael Winterbottom
2611,Drama Comedy Romance,,How low will they go to get the girls of their dreams?,Whatever It Takes,Jodi Lyn O'Keefe Shane West Marla Sokoloff James Franco Aaron Paul,David Raynr
2612,Comedy,gay bikini cruise ship babes,"... once you're on, you'll want to get off...",Boat Trip,Cuba Gooding Jr. Horatio Sanz Roselyn S\u00e1nchez Vivica A. Fox Maurice Godin,Mort Nathan
2613,Comedy Drama History Romance,new love country estate country house false identity beguilement,Everybody Loves Ernest... But Nobody's Quite Sure Who He Really Is.,The Importance of Being Earnest,Rupert Everett Colin Firth Reese Witherspoon Judi Dench Tom Wilkinson,Oliver Parker
2614,Comedy Drama Fantasy Romance,,A letter from the past would change their future forever.,The Love Letter,Campbell Scott Jennifer Jason Leigh David Dukes Estelle Parsons,Dan Curtis
2615,Drama Family,owl teenager animal protection based on young adult novel,It's time to stand up for the little guys.,Hoot,Luke Wilson Logan Lerman Brie Larson Tim Blake Nelson Cody Linley,Wil Shriner
2616,Comedy Drama Crime,bruges belgium town square vietnamese canadian stereotype skinned alive,Shoot first. Sightsee later.,In Bruges,Colin Farrell Brendan Gleeson Ralph Fiennes Cl\u00e9mence Po\u00e9sy Thekla Reuten,Martin McDonagh
2617,Comedy,duringcreditsstinger woman director,,Peeples,Craig Robinson Kerry Washington David Alan Grier S. Epatha Merkerson Tyler James Williams,Tina Gordon Chism
2618,Comedy Music,1970s drums groupie musical rock,Opportunity rocks.,The Rocker,Rainn Wilson Josh Gad Christina Applegate Emma Stone Teddy Geiger,Peter Cattaneo
2619,Comedy,career family unemployment woman director graduation speech,A Pre-Life Crisis.,Post Grad,Alexis Bledel Zach Gilford Rodrigo Santoro Jane Lynch Carol Burnett,Vicky Jenson
2620,Drama,small town campaign salesman farmland natural gas,What's your price?,Promised Land,Matt Damon John Krasinski Frances McDormand Rosemarie DeWitt Lucas Black,Gus Van Sant
